batter,phase,outcome,n,total_n,probability_raw,fallback_probability,probability
A Badoni,death,0,56.0,319.0,0.1755485893416928,0.21696977459016392,0.1801637631855336
A Badoni,death,1,124.0,319.0,0.3887147335423197,0.37083760245901637,0.38672285264167316
A Badoni,death,2,36.0,319.0,0.11285266457680251,0.08837090163934426,0.11012489154755925
A Badoni,death,3,3.0,319.0,0.009404388714733543,0.002651127049180328,0.00865193616146856
A Badoni,death,4,38.0,319.0,0.11912225705329153,0.11151383196721311,0.11827452166765605
A Badoni,death,6,19.0,319.0,0.05956112852664577,0.07952100409836066,0.061785070094524865
A Badoni,death,W,21.0,319.0,0.06583072100313479,0.08016137295081967,0.06742745102516097
A Badoni,death,Wd,22.0,319.0,0.06896551724137931,0.04340420081967213,0.06611745970135623
A Badoni,death,Nb,0.0,319.0,0.0,0.006570184426229508,0.0007320539750673547
A Badoni,middle,0,99.0,367.0,0.26975476839237056,0.2808889845966761,0.27084904025520157
A Badoni,middle,1,167.0,367.0,0.4550408719346049,0.4414331678151601,0.45370350543637933
A Badoni,middle,2,26.0,367.0,0.07084468664850137,0.06664217673287394,0.0704316635609704
A Badoni,middle,3,1.0,367.0,0.0027247956403269754,0.002286430887717876,0.0026817131093580223
A Badoni,middle,4,30.0,367.0,0.08174386920980926,0.08739739562221321,0.08229949834124946
A Badoni,middle,6,13.0,367.0,0.035422343324250684,0.048281059991892986,0.036686099262102506
A Badoni,middle,W,14.0,367.0,0.03814713896457766,0.04221980137819214,0.038547400626849346
A Badoni,middle,Wd,16.0,367.0,0.043596730245231606,0.028171868666396434,0.04208077333330677
A Badoni,middle,Nb,1.0,367.0,0.0027247956403269754,0.002679114308877179,0.0027203060745825238
A Badoni,powerplay,0,38.0,78.0,0.48717948717948717,0.4228881521678736,0.46538581429419446
A Badoni,powerplay,1,18.0,78.0,0.23076923076923078,0.25764450947345025,0.2398794947367628
A Badoni,powerplay,2,1.0,78.0,0.01282051282051282,0.04384827662845184,0.023338398857102316
A Badoni,powerplay,3,1.0,78.0,0.01282051282051282,0.005028429611245902,0.01017912868177827
A Badoni,powerplay,4,10.0,78.0,0.1282051282051282,0.15223269683107069,0.13635006672239683
A Badoni,powerplay,6,2.0,78.0,0.02564102564102564,0.040523771600022226,0.030686024271193976
A Badoni,powerplay,W,4.0,78.0,0.05128205128205128,0.03919952586446391,0.04718627995405556
A Badoni,powerplay,Wd,4.0,78.0,0.05128205128205128,0.03486563072990943,0.04571716295929133
