batter,avg_batting_position,innings_seen
J Little,1.0,13
RE Levi,1.0714285714285714,14
Liton Das,1.1014492753623188,69
PP Shaw,1.1125,80
AC Gilchrist,1.1176470588235294,85
P Nissanka,1.1486486486486487,74
MJ Lumb,1.162162162162162,37
JJ Roy,1.1625,80
YBK Jaiswal,1.2040816326530612,98
GC Smith,1.2452830188679245,53
KR Mayers,1.2765957446808511,47
Mohammad Ashraful,1.2777777777777777,18
Q de Kock,1.3431372549019607,204
Mohammad Hafeez,1.4081632653061225,98
MJ Guptill,1.4196428571428572,112
Salman Butt,1.4230769230769231,26
FH Allen,1.435897435897436,39
ST Jayasuriya,1.4509803921568627,51
PD Salt,1.5,76
J Fraser-McGurk,1.5,16
SM Katich,1.5,12
P Simran Singh,1.532258064516129,62
JD Ryder,1.5476190476190477,42
HM Amla,1.5490196078431373,51
DA Warner,1.5571428571428572,280
M Klinger,1.5714285714285714,7
LMP Simmons,1.5897435897435896,78
B Muzarabani,1.6,10
RW Price,1.6,5
M Vijay,1.6132075471698113,106
T Taibu,1.6153846153846154,13
CH Gayle,1.6220095693779903,209
RD Gaikwad,1.6336633663366336,101
Sikandar Raza,1.6379310344827587,58
SP Fleming,1.6666666666666667,15
PA Patel,1.6842105263157894,133
MP Breetzke,1.7142857142857142,7
RD Rickelton,1.7173913043478262,46
G Gambhir,1.7231638418079096,177
SD Hope,1.7258064516129032,62
BKG Mendis,1.7380952380952381,84
E Lewis,1.76,75
BB McCullum,1.7804878048780488,164
MDKJ Perera,1.7848101265822784,79
UT Khawaja,1.7857142857142858,14
B Sai Sudharsan,1.8070175438596492,57
AD Hales,1.8208955223880596,67
HH Gibbs,1.8235294117647058,51
AM Rahane,1.8461538461538463,208
KL Rahul,1.8653846153846154,208
BR Dunk,1.875,8
SR Tendulkar,1.8974358974358974,78
V Sehwag,1.9075630252100841,119
JH Kallis,1.908256880733945,109
S Dhawan,1.9401408450704225,284
DJM Short,2.0,24
DP Conway,2.0,75
ML Hayden,2.051282051282051,39
DR Smith,2.05607476635514,107
SE Marsh,2.0833333333333335,84
R Ravindra,2.088888888888889,45
CA Lynn,2.111111111111111,54
Kamran Akmal,2.14,50
Shubman Gill,2.1949685534591197,159
AJ Finch,2.214689265536723,177
TM Dilshan,2.219298245614035,114
Abhishek Sharma,2.231404958677686,121
S Chanderpaul,2.238095238095238,21
KP Pietersen,2.242857142857143,70
TM Head,2.244186046511628,86
RG Sharma,2.253807106598985,394
F du Plessis,2.28494623655914,186
LG Pretorius,2.3333333333333335,9
M Vohra,2.36,50
MA Agarwal,2.3629032258064515,124
MN van Wyk,2.3636363636363638,11
Mashrafe Mortaza,2.3846153846153846,26
R Dravid,2.419753086419753,81
SR Watson,2.4345549738219896,191
TL Seifert,2.4444444444444446,63
C Munro,2.4477611940298507,67
SC Ganguly,2.462962962962963,54
Shoaib Malik,2.467391304347826,92
RT Ponting,2.4761904761904763,21
V Kohli,2.495956873315364,371
MEK Hussey,2.5121951219512195,82
DPMD Jayawardene,2.56198347107438,121
RV Uthappa,2.5679611650485437,206
JR Philippe,2.588235294117647,17
Ishan Kishan,2.5925925925925926,162
D Padikkal,2.6222222222222222,90
AK Markram,2.6470588235294117,119
C Connolly,2.6666666666666665,15
KC Sangakkara,2.672566371681416,113
MW Short,2.68,25
HE van der Dussen,2.6956521739130435,46
JM Bairstow,2.725663716814159,113
KS Williamson,2.7739726027397262,146
SV Samson,2.7991266375545854,229
NJ Maddinson,2.8,5
AB Barath,2.8,5
JC Buttler,2.8638132295719845,257
Younis Khan,2.8823529411764706,17
JG Bethell,2.903225806451613,31
MN Samuels,2.903225806451613,62
Shakib Al Hasan,2.9140625,128
JP Inglis,2.92,50
DR Martyn,3.0,3
DJ Malan,3.020408163265306,49
VR Iyer,3.0303030303030303,66
RA Tripathi,3.05,100
MR Marsh,3.056451612903226,124
RR Rossouw,3.0638297872340425,47
PBB Rajapaksa,3.075,40
T Banton,3.0833333333333335,24
Shahid Afridi,3.1184210526315788,76
PD Collingwood,3.135135135135135,37
WP Saha,3.140845070422535,142
SS Iyer,3.1559139784946235,186
MJ Clarke,3.1724137931034484,29
SK Raina,3.199203187250996,251
SB Styris,3.2,35
N Rana,3.2131147540983607,122
LJ Wright,3.2439024390243905,41
JE Root,3.259259259259259,27
D Brevis,3.2666666666666666,45
KK Nair,3.276315789473684,76
RS Bopara,3.326923076923077,52
PWA Mulder,3.3333333333333335,9
RR Sarwan,3.3333333333333335,18
A Symonds,3.3777777777777778,45
CK Kapugedera,3.388888888888889,36
WG Jacks,3.4166666666666665,48
PHKD Mendis,3.4285714285714284,35
MK Pandey,3.4293193717277486,191
Mandeep Singh,3.4329896907216493,97
LA Pomersbach,3.4375,16
MD Shanaka,3.4536082474226806,97
AB de Villiers,3.48068669527897,233
DM Bravo,3.5,20
N Pooran,3.5489130434782608,184
C Green,3.56140350877193,57
RM Patidar,3.6346153846153846,52
Abdur Razzak,3.6363636363636362,11
SA Yadav,3.6370967741935485,248
GD Phillips,3.6805555555555554,72
JEC Franklin,3.6923076923076925,39
SPD Smith,3.7163120567375887,141
Misbah-ul-Haq,3.71875,32
Mustafizur Rahman,3.7241379310344827,29
CL White,3.7529411764705882,85
A Flintoff,3.7777777777777777,9
JL Denly,3.8,10
NV Ojha,3.8,90
GJ Maxwell,3.815450643776824,233
RR Pant,3.8181818181818183,198
OA Shah,3.8285714285714287,35
LRPL Taylor,3.83206106870229,131
JP Duminy,3.8345323741007196,139
Yuvraj Singh,3.8771929824561404,171
JR Hopes,3.8846153846153846,26
DJ Hussey,3.903225806451613,93
DJ Mitchell,3.9178082191780823,73
HC Brook,3.9361702127659575,47
R Powell,3.9375,112
AT Rayudu,3.946524064171123,187
L Ronchi,3.962962962962963,27
SP Narine,3.992063492063492,126
Sohail Tanvir,4.041666666666667,24
Tilak Varma,4.043010752688172,93
H Klaasen,4.086021505376344,93
AC Voges,4.090909090909091,11
EJG Morgan,4.094117647058823,170
BJ Rohrer,4.1,10
BMAJ Mendis,4.117647058823529,17
BJ Hodge,4.121621621621622,74
YK Pathan,4.186746987951807,166
MK Tiwary,4.2,80
SE Rutherford,4.2063492063492065,63
CJ Anderson,4.212765957446808,47
T Stubbs,4.213333333333333,75
LPC Silva,4.214285714285714,14
MG Bracewell,4.217391304347826,23
CA Ingram,4.2272727272727275,22
MC Henriques,4.232876712328767,73
AD Mathews,4.254901960784314,102
SO Hetmyer,4.263888888888889,144
NLTC Perera,4.288888888888889,90
BA Stokes,4.297297297297297,74
SW Billings,4.327272727272727,55
LS Livingstone,4.337209302325581,86
JM Kemp,4.375,8
Nithish Kumar Reddy,4.378378378378378,37
F Behardien,4.387096774193548,31
DA Miller,4.402489626556017,241
V Shankar,4.409090909090909,66
GJ Bailey,4.423728813559322,59
MM Ali,4.431034482758621,116
R Parag,4.444444444444445,90
AM Nayar,4.448979591836735,49
Dhruv Jurel,4.461538461538462,52
MS Wade,4.48,75
SS Tiwary,4.486111111111111,72
AT Carey,4.52,25
Y Venugopal Rao,4.549019607843137,51
S Badrinath,4.5625,64
MP Stoinis,4.563291139240507,158
PWH de Silva,4.648648648648648,74
KD Karthik,4.66044776119403,268
PSP Handscomb,4.666666666666667,3
JDP Oram,4.684210526315789,38
Shashank Singh,4.714285714285714,42
S Dube,4.716814159292035,113
DJ Hooda,4.724137931034483,116
CJ Ferguson,4.7272727272727275,11
GF Linde,4.75,20
TD Paine,4.75,8
AD Mascarenhas,4.75,20
SN Khan,4.767441860465116,43
KA Pollard,4.810924369747899,238
D Pretorius,4.85,20
C de Grandhomme,4.857142857142857,49
BJ Haddin,4.892857142857143,28
D Ferreira,4.923076923076923,26
JDS Neesham,4.928571428571429,56
MV Boucher,4.947368421052632,38
DJG Sammy,4.962962962962963,54
CJ Dala,5.0,2
T Henderson,5.0,2
A Badoni,5.035714285714286,56
RK Singh,5.036585365853658,82
KM Jadhav,5.037037037037037,81
AJ Turner,5.055555555555555,18
MS Dhoni,5.065573770491803,305
AD Russell,5.069767441860465,172
SM Pollock,5.071428571428571,14
I Udana,5.1,20
HH Pandya,5.106995884773663,243
J Botha,5.119047619047619,42
TR Birt,5.125,8
DT Christian,5.1568627450980395,51
SK Warne,5.16,25
DJ Bravo,5.205882352941177,170
Umar Gul,5.217391304347826,23
A Dananjaya,5.230769230769231,13
STR Binny,5.268656716417911,67
SM Curran,5.274725274725275,91
IK Pathan,5.285714285714286,91
MJ Owen,5.3,10
R McLaren,5.333333333333333,15
JM Sharma,5.387096774193548,62
TH David,5.425531914893617,94
JA Morkel,5.427083333333333,96
Shahbaz Ahmed,5.45,40
R Shepherd,5.451612903225806,62
JO Holder,5.5,88
RE van der Merwe,5.526315789473684,19
Abdul Samad,5.532258064516129,62
RA Jadeja,5.560669456066946,239
M Manhas,5.583333333333333,36
Shoaib Akhtar,5.6,5
WPUJC Vaas,5.615384615384615,13
M Shahrukh Khan,5.634615384615385,52
KMDN Kulasekara,5.666666666666667,24
NL McCullum,5.71875,32
KH Pandya,5.75,132
DL Vettori,5.75,36
RJ Harris,5.761904761904762,21
MJ Santner,5.822222222222222,90
OF Smith,5.842105263157895,19
Washington Sundar,5.866666666666666,75
PVD Chameera,5.868421052631579,38
SE Bond,5.875,8
CR Brathwaite,5.888888888888889,36
R Tewatia,5.943181818181818,88
AR Patel,5.9655172413793105,174
SM Harwood,6.0,2
CK Langeveldt,6.0,3
AA Noffke,6.0,1
JJ van der Wath,6.0,7
S Joseph,6.0,2
G Coetzee,6.0,18
MF Maharoof,6.0625,16
Ramandeep Singh,6.125,24
D Wiese,6.142857142857143,21
DAJ Bracewell,6.181818181818182,11
JE Taylor,6.2,15
BCJ Cutting,6.2,20
J Overton,6.2105263157894735,19
SMSM Senanayake,6.230769230769231,13
M Jansen,6.2439024390243905,41
KA Jamieson,6.2631578947368425,19
WD Parnell,6.285714285714286,28
M Theekshana,6.305555555555555,36
RJ Peterson,6.3125,16
R Bhatia,6.333333333333333,45
KMA Paul,6.352941176470588,17
C Bosch,6.411764705882353,17
P Negi,6.457142857142857,35
B Lee,6.464285714285714,28
JP Faulkner,6.5,60
SC Kuggeleijn,6.5,6
KAJ Roach,6.5,2
PP Chawla,6.552941176470588,85
KA Maharaj,6.555555555555555,18
AB Agarkar,6.578947368421052,19
S Badree,6.636363636363637,11
AJ Hosein,6.655172413793103,29
FA Allen,6.666666666666667,27
N Burger,6.666666666666667,3
DR Sams,6.666666666666667,18
KV Sharma,6.684210526315789,38
SK Trivedi,6.6923076923076925,13
AF Milne,6.7,20
CH Morris,6.7,60
FH Edwards,6.714285714285714,7
D Madushanka,6.75,4
P Kumar,6.824561403508772,57
DJ Willey,6.916666666666667,24
Harbhajan Singh,6.926315789473684,95
JC Archer,6.94,50
R Ashwin,6.961538461538462,104
Rashid Khan,6.971014492753623,69
MP Yadav,7.0,1
GD McGrath,7.0,3
GHS Garton,7.0,3
SN Thakur,7.0,46
SSB Magala,7.0,1
CRD Fernando,7.0,4
CJ Green,7.0,1
CR Woakes,7.0,23
Harpreet Brar,7.04,25
R Dhawan,7.090909090909091,22
R Rampaul,7.111111111111111,9
MJ Henry,7.111111111111111,9
BJ Dwarshuis,7.125,8
TK Curran,7.125,16
M Pathirana,7.125,8
DW Steyn,7.131578947368421,38
L Ngidi,7.1875,16
AS Joseph,7.2,20
IS Sodhi,7.24,25
E Malinga,7.25,4
HV Patel,7.26,50
LB Williams,7.285714285714286,7
M Kartik,7.3076923076923075,13
MA Starc,7.325,40
KT Maphaka,7.333333333333333,6
TG Southee,7.352941176470588,51
XC Bartlett,7.363636363636363,11
SL Malinga,7.372093023255814,43
M Morkel,7.375,24
A Mishra,7.384615384615385,52
PJ Cummins,7.4,70
Joginder Sharma,7.4,5
Parvez Rasool,7.4,5
J Theron,7.428571428571429,7
R Vinay Kumar,7.461538461538462,39
RP Singh,7.464285714285714,28
Mohammad Asif,7.5,4
S Gopal,7.523809523809524,21
S Sreesanth,7.538461538461538,13
