bowler,phase,outcome,n,total_n,probability_raw,fallback_probability,probability
A Badoni,death,0,2.0,16.0,0.125,0.21696977459016392,0.19069269613583137
A Badoni,death,1,9.0,16.0,0.5625,0.37083760245901637,0.425598287470726
A Badoni,death,2,2.0,16.0,0.125,0.08837090163934426,0.09883635831381733
A Badoni,death,3,0.0,16.0,0.0,0.002651127049180328,0.0018936621779859484
A Badoni,death,4,0.0,16.0,0.0,0.11151383196721311,0.07965273711943795
A Badoni,death,6,1.0,16.0,0.0625,0.07952100409836066,0.07465786007025763
A Badoni,death,W,2.0,16.0,0.125,0.08016137295081967,0.09297240925058547
A Badoni,death,Wd,0.0,16.0,0.0,0.04340420081967213,0.031003000585480094
A Badoni,death,Nb,0.0,16.0,0.0,0.006570184426229508,0.00469298887587822
A Badoni,middle,0,2.0,22.0,0.09090909090909091,0.2808889845966761,0.21347676425592008
A Badoni,middle,1,10.0,22.0,0.45454545454545453,0.4414331678151601,0.44608591471945813
A Badoni,middle,2,3.0,22.0,0.13636363636363635,0.06664217673287394,0.09138204950507996
A Badoni,middle,3,0.0,22.0,0.0,0.002286430887717876,0.0014751167017534683
A Badoni,middle,4,2.0,22.0,0.09090909090909091,0.08739739562221321,0.08864348104658916
A Badoni,middle,6,3.0,22.0,0.13636363636363635,0.048281059991892986,0.07953616773670515
A Badoni,middle,W,2.0,22.0,0.09090909090909091,0.04221980137819214,0.05949664605044654
A Badoni,middle,Wd,0.0,22.0,0.0,0.028171868666396434,0.018175399139610603
A Badoni,middle,Nb,0.0,22.0,0.0,0.002679114308877179,0.0017284608444368896
A Badoni,powerplay,0,1.0,1.0,1.0,0.4228881521678736,0.43696405089548646
A Badoni,powerplay,1,0.0,1.0,0.0,0.25764450947345025,0.25136049704726854
A Badoni,powerplay,2,0.0,1.0,0.0,0.04384827662845184,0.04277880646678228
A Badoni,powerplay,3,0.0,1.0,0.0,0.005028429611245902,0.004905784986581368
A Badoni,powerplay,4,0.0,1.0,0.0,0.15223269683107069,0.1485197042254348
A Badoni,powerplay,6,0.0,1.0,0.0,0.040523771600022226,0.039535386926850956
A Badoni,powerplay,W,0.0,1.0,0.0,0.03919952586446391,0.038243439867769666
A Badoni,powerplay,Wd,0.0,1.0,0.0,0.03486563072990943,0.034015249492594574
A Badoni,powerplay,Nb,0.0,1.0,0.0,0.003769007093512122,0.003677080091231339
A Dananjaya,death,0,9.0,60.0,0.15,0.21696977459016392,0.17678790983606557
A Dananjaya,death,1,27.0,60.0,0.45,0.37083760245901637,0.4183350409836066
A Dananjaya,death,2,5.0,60.0,0.08333333333333333,0.08837090163934426,0.08534836065573771
A Dananjaya,death,3,0.0,60.0,0.0,0.002651127049180328,0.001060450819672131
A Dananjaya,death,4,3.0,60.0,0.05,0.11151383196721311,0.07460553278688525
A Dananjaya,death,6,10.0,60.0,0.16666666666666666,0.07952100409836066,0.13180840163934426
A Dananjaya,death,W,3.0,60.0,0.05,0.08016137295081967,0.06206454918032787
A Dananjaya,death,Wd,3.0,60.0,0.05,0.04340420081967213,0.04736168032786885
A Dananjaya,death,Nb,0.0,60.0,0.0,0.006570184426229508,0.0026280737704918035
A Dananjaya,middle,0,69.0,269.0,0.25650557620817843,0.2808889845966761,0.2596620044785341
A Dananjaya,middle,1,134.0,269.0,0.49814126394052044,0.4414331678151601,0.49080041007315983
A Dananjaya,middle,2,22.0,269.0,0.08178438661710037,0.06664217673287394,0.07982422999778303
A Dananjaya,middle,3,0.0,269.0,0.0,0.002286430887717876,0.0002959781084424435
A Dananjaya,middle,4,13.0,269.0,0.048327137546468404,0.08739739562221321,0.05338477613232533
A Dananjaya,middle,6,18.0,269.0,0.06691449814126393,0.048281059991892986,0.0645024025879473
A Dananjaya,middle,W,9.0,269.0,0.03345724907063197,0.04221980137819214,0.03459156004895691
A Dananjaya,middle,Wd,4.0,269.0,0.01486988847583643,0.028171868666396434,0.016591827659080443
A Dananjaya,middle,Nb,0.0,269.0,0.0,0.002679114308877179,0.0003468109137705086
A Dananjaya,powerplay,0,83.0,219.0,0.3789954337899543,0.4228881521678736,0.3857742319950384
A Dananjaya,powerplay,1,63.0,219.0,0.2876712328767123,0.25764450947345025,0.28303390107698073
A Dananjaya,powerplay,2,10.0,219.0,0.045662100456621,0.04384827662845184,0.04538197322447133
A Dananjaya,powerplay,3,0.0,219.0,0.0,0.005028429611245902,0.0007765914457522629
A Dananjaya,powerplay,4,26.0,219.0,0.1187214611872146,0.15223269683107069,0.12389694159553216
A Dananjaya,powerplay,6,18.0,219.0,0.0821917808219178,0.040523771600022226,0.07575656704247448
A Dananjaya,powerplay,W,11.0,219.0,0.0502283105022831,0.03919952586446391,0.04852502329953111
A Dananjaya,powerplay,Wd,8.0,219.0,0.0365296803652968,0.03486563072990943,0.036272684282611496
A Dananjaya,powerplay,Nb,0.0,219.0,0.0,0.003769007093512122,0.0005820860376080498
A Flintoff,death,0,7.0,54.0,0.12962962962962962,0.21696977459016392,0.1667956487617719
A Flintoff,death,1,23.0,54.0,0.42592592592592593,0.37083760245901637,0.4024840861527729
A Flintoff,death,2,6.0,54.0,0.1111111111111111,0.08837090163934426,0.1014344262295082
A Flintoff,death,3,0.0,54.0,0.0,0.002651127049180328,0.0011281391698639693
A Flintoff,death,4,9.0,54.0,0.16666666666666666,0.11151383196721311,0.14319737530519708
A Flintoff,death,6,6.0,54.0,0.1111111111111111,0.07952100409836066,0.09766851238228114
A Flintoff,death,W,3.0,54.0,0.05555555555555555,0.08016137295081967,0.06602611614928497
A Flintoff,death,Wd,0.0,54.0,0.0,0.04340420081967213,0.018469872689222185
A Flintoff,death,Nb,0.0,54.0,0.0,0.006570184426229508,0.0027958231600976632
A Flintoff,middle,0,25.0,53.0,0.4716981132075472,0.2808889845966761,0.38962967079426924
A Flintoff,middle,1,19.0,53.0,0.3584905660377358,0.4414331678151601,0.3941648033613592
A Flintoff,middle,2,3.0,53.0,0.05660377358490566,0.06664217673287394,0.060921366336719976
A Flintoff,middle,3,1.0,53.0,0.018867924528301886,0.002286430887717876,0.011736099306545324
A Flintoff,middle,4,2.0,53.0,0.03773584905660377,0.08739739562221321,0.059095654031059444
A Flintoff,middle,6,1.0,53.0,0.018867924528301886,0.048281059991892986,0.03151873548038408
A Flintoff,middle,W,2.0,53.0,0.03773584905660377,0.04221980137819214,0.039664430700297695
A Flintoff,middle,Wd,0.0,53.0,0.0,0.028171868666396434,0.012116932759740401
