bowler,phase,legal_balls,overs,total_overs,phase_usage_probability
A Badoni,death,16,2.6666666666666665,6.5,0.41025641025641024
A Badoni,middle,22,3.6666666666666665,6.5,0.5641025641025641
A Badoni,powerplay,1,0.16666666666666666,6.5,0.02564102564102564
A Dananjaya,death,57,9.5,88.83333333333333,0.10694183864915573
A Dananjaya,middle,265,44.166666666666664,88.83333333333333,0.4971857410881801
A Dananjaya,powerplay,211,35.166666666666664,88.83333333333333,0.39587242026266417
A Flintoff,death,54,9.0,29.5,0.3050847457627119
A Flintoff,middle,53,8.833333333333334,29.5,0.2994350282485876
A Flintoff,powerplay,70,11.666666666666666,29.5,0.39548022598870053
A Mishra,death,498,83.0,546.3333333333334,0.15192190359975594
A Mishra,middle,2652,442.0,546.3333333333334,0.8090298962782184
A Mishra,powerplay,128,21.333333333333332,546.3333333333334,0.039048200122025624
A Nehra,death,582,97.0,343.5,0.2823871906841339
A Nehra,middle,278,46.333333333333336,343.5,0.1348859776807375
A Nehra,powerplay,1201,200.16666666666666,343.5,0.5827268316351285
A Nel,death,6,1.0,6.333333333333334,0.15789473684210525
A Nel,middle,18,3.0,6.333333333333334,0.47368421052631576
A Nel,powerplay,14,2.3333333333333335,6.333333333333334,0.3684210526315789
A Nortje,death,600,100.0,283.6666666666667,0.3525264394829612
A Nortje,middle,474,79.0,283.6666666666667,0.27849588719153934
A Nortje,powerplay,628,104.66666666666667,283.6666666666667,0.3689776733254994
A Symonds,death,111,18.5,96.33333333333334,0.19204152249134945
A Symonds,middle,362,60.333333333333336,96.33333333333334,0.6262975778546712
A Symonds,powerplay,105,17.5,96.33333333333334,0.18166089965397922
A Zampa,death,307,51.166666666666664,323.66666666666663,0.1580844490216272
A Zampa,middle,1503,250.5,323.66666666666663,0.7739443872296602
A Zampa,powerplay,132,22.0,323.66666666666663,0.06797116374871268
AA Noffke,death,18,3.0,9.166666666666668,0.3272727272727272
AA Noffke,middle,25,4.166666666666667,9.166666666666668,0.45454545454545453
AA Noffke,powerplay,12,2.0,9.166666666666668,0.21818181818181814
AB Agarkar,death,180,30.0,124.5,0.24096385542168675
AB Agarkar,middle,409,68.16666666666667,124.5,0.5475234270414994
AB Agarkar,powerplay,158,26.333333333333332,124.5,0.21151271753681392
AB Dinda,death,434,72.33333333333333,238.66666666666666,0.303072625698324
AB Dinda,middle,278,46.333333333333336,238.66666666666666,0.19413407821229053
AB Dinda,powerplay,720,120.0,238.66666666666666,0.5027932960893855
AC Gilchrist,death,1,0.16666666666666666,0.16666666666666666,1.0
AC Voges,death,12,2.0,9.0,0.2222222222222222
AC Voges,middle,30,5.0,9.0,0.5555555555555556
AC Voges,powerplay,12,2.0,9.0,0.2222222222222222
AD Mascarenhas,death,24,4.0,73.33333333333333,0.05454545454545455
AD Mascarenhas,middle,246,41.0,73.33333333333333,0.5590909090909091
AD Mascarenhas,powerplay,170,28.333333333333332,73.33333333333333,0.38636363636363635
AD Mathews,death,152,25.333333333333332,244.5,0.10361281526925699
AD Mathews,middle,809,134.83333333333334,244.5,0.5514655760054533
AD Mathews,powerplay,506,84.33333333333333,244.5,0.3449216087252897
