venue,phase,outcome,n,total_n,probability_raw,fallback_probability,probability
AMI Stadium,death,0,21.0,110.0,0.19090909090909092,0.21696977459016392,0.20331894028103045
AMI Stadium,death,1,46.0,110.0,0.41818181818181815,0.37083760245901637,0.39563695355191253
AMI Stadium,death,2,5.0,110.0,0.045454545454545456,0.08837090163934426,0.06589090554254488
AMI Stadium,death,3,1.0,110.0,0.00909090909090909,0.002651127049180328,0.006024346213895394
AMI Stadium,death,4,16.0,110.0,0.14545454545454545,0.11151383196721311,0.12929230093676816
AMI Stadium,death,6,13.0,110.0,0.11818181818181818,0.07952100409836066,0.09977190671350508
AMI Stadium,death,W,4.0,110.0,0.03636363636363636,0.08016137295081967,0.05721970140515222
AMI Stadium,death,Wd,3.0,110.0,0.02727272727272727,0.04340420081967213,0.03495438134270101
AMI Stadium,death,Nb,1.0,110.0,0.00909090909090909,0.006570184426229508,0.007890564012490242
AMI Stadium,middle,0,69.0,231.0,0.2987012987012987,0.2808889845966761,0.2933199349234671
AMI Stadium,middle,1,100.0,231.0,0.4329004329004329,0.4414331678151601,0.4354782984335831
AMI Stadium,middle,2,6.0,231.0,0.025974025974025976,0.06664217673287394,0.03826047635434258
AMI Stadium,middle,3,0.0,231.0,0.0,0.002286430887717876,0.0006907646186458839
AMI Stadium,middle,4,16.0,231.0,0.06926406926406926,0.08739739562221321,0.07474241559583482
AMI Stadium,middle,6,16.0,231.0,0.06926406926406926,0.048281059991892986,0.06292479153833624
AMI Stadium,middle,W,15.0,231.0,0.06493506493506493,0.04221980137819214,0.058072447546281616
AMI Stadium,middle,Wd,6.0,231.0,0.025974025974025976,0.028171868666396434,0.026638026787430946
AMI Stadium,middle,Nb,3.0,231.0,0.012987012987012988,0.002679114308877179,0.009872844202077697
AMI Stadium,powerplay,0,55.0,137.0,0.40145985401459855,0.4228881521678736,0.41050133002863864
AMI Stadium,powerplay,1,34.0,137.0,0.24817518248175183,0.25764450947345025,0.2521706791027216
AMI Stadium,powerplay,2,4.0,137.0,0.029197080291970802,0.04384827662845184,0.03537901967445225
AMI Stadium,powerplay,3,1.0,137.0,0.0072992700729927005,0.005028429611245902,0.006341109540610085
AMI Stadium,powerplay,4,22.0,137.0,0.16058394160583941,0.15223269683107069,0.15706020963336317
AMI Stadium,powerplay,6,11.0,137.0,0.08029197080291971,0.040523771600022226,0.0635121399156212
AMI Stadium,powerplay,W,3.0,137.0,0.021897810218978103,0.03919952586446391,0.029198112179098692
AMI Stadium,powerplay,Wd,4.0,137.0,0.029197080291970802,0.03486563072990943,0.031588873725700184
AMI Stadium,powerplay,Nb,3.0,137.0,0.021897810218978103,0.003769007093512122,0.014248526199794146
Adelaide Oval,death,0,61.0,308.0,0.19805194805194806,0.21696977459016392,0.20268867024268725
Adelaide Oval,death,1,119.0,308.0,0.38636363636363635,0.37083760245901637,0.3825582358968177
Adelaide Oval,death,2,38.0,308.0,0.12337662337662338,0.08837090163934426,0.11479678961748634
Adelaide Oval,death,3,1.0,308.0,0.003246753246753247,0.002651127049180328,0.0031007664336226296
Adelaide Oval,death,4,32.0,308.0,0.1038961038961039,0.11151383196721311,0.10576319410961106
Adelaide Oval,death,6,22.0,308.0,0.07142857142857142,0.07952100409836066,0.07341201080842173
Adelaide Oval,death,W,22.0,308.0,0.07142857142857142,0.08016137295081967,0.07356896395853424
Adelaide Oval,death,Wd,11.0,308.0,0.03571428571428571,0.04340420081967213,0.03759906882835101
Adelaide Oval,death,Nb,2.0,308.0,0.006493506493506494,0.006570184426229508,0.006512300104468016
Adelaide Oval,middle,0,159.0,602.0,0.26411960132890366,0.2808889845966761,0.26650840236419887
Adelaide Oval,middle,1,248.0,602.0,0.4119601328903654,0.4414331678151601,0.4161585709138405
Adelaide Oval,middle,2,48.0,602.0,0.07973421926910298,0.06664217673287394,0.07786925594485385
Adelaide Oval,middle,3,4.0,602.0,0.006644518272425249,0.002286430887717876,0.006023708103663514
Adelaide Oval,middle,4,65.0,602.0,0.1079734219269103,0.08739739562221321,0.10504236404874831
Adelaide Oval,middle,6,29.0,602.0,0.04817275747508306,0.048281059991892986,0.04818818518403034
Adelaide Oval,middle,W,25.0,602.0,0.04152823920265781,0.04221980137819214,0.041626752333075806
Adelaide Oval,middle,Wd,23.0,602.0,0.03820598006644518,0.028171868666396434,0.03677661946814764
Adelaide Oval,middle,Nb,1.0,602.0,0.0016611295681063123,0.002679114308877179,0.0018061416394411936
Adelaide Oval,powerplay,0,165.0,402.0,0.41044776119402987,0.4228881521678736,0.41292592672666806
