phase,outcome,n,total_n,probability_raw,probability
death,0,16941,78080,0.21696977459016392,0.21696977459016392
death,1,28955,78080,0.37083760245901637,0.37083760245901637
death,2,6900,78080,0.08837090163934426,0.08837090163934426
death,3,207,78080,0.002651127049180328,0.002651127049180328
death,4,8707,78080,0.11151383196721311,0.11151383196721311
death,6,6209,78080,0.07952100409836066,0.07952100409836066
death,W,6259,78080,0.08016137295081967,0.08016137295081967
death,Wd,3389,78080,0.04340420081967213,0.04340420081967213
death,Nb,513,78080,0.006570184426229508,0.006570184426229508
middle,0,44349,157888,0.2808889845966761,0.2808889845966761
middle,1,69697,157888,0.4414331678151601,0.4414331678151601
middle,2,10522,157888,0.06664217673287394,0.06664217673287394
middle,3,361,157888,0.002286430887717876,0.002286430887717876
middle,4,13799,157888,0.08739739562221321,0.08739739562221321
middle,6,7623,157888,0.048281059991892986,0.048281059991892986
middle,W,6666,157888,0.04221980137819214,0.04221980137819214
middle,Wd,4448,157888,0.028171868666396434,0.028171868666396434
middle,Nb,423,157888,0.002679114308877179,0.002679114308877179
powerplay,0,45666,107986,0.4228881521678736,0.4228881521678736
powerplay,1,27822,107986,0.25764450947345025,0.25764450947345025
powerplay,2,4735,107986,0.04384827662845184,0.04384827662845184
powerplay,3,543,107986,0.005028429611245902,0.005028429611245902
powerplay,4,16439,107986,0.15223269683107069,0.15223269683107069
powerplay,6,4376,107986,0.040523771600022226,0.040523771600022226
powerplay,W,4233,107986,0.03919952586446391,0.03919952586446391
powerplay,Wd,3765,107986,0.03486563072990943,0.03486563072990943
powerplay,Nb,407,107986,0.003769007093512122,0.003769007093512122
