player,ipl_matches,t20i_matches,played_both_t20i_and_ipl,ipl_only_50_plus,eligible
A Ashish Reddy,31.0,0.0,False,False,False
A Athanaze,0.0,14.0,False,False,False
A Badoni,66.0,0.0,False,True,True
A Balbirnie,0.0,41.0,False,False,False
A Chandila,12.0,0.0,False,False,False
A Chopra,7.0,0.0,False,False,False
A Choudhary,5.0,0.0,False,False,False
A Dananjaya,1.0,32.0,True,False,True
A Flintoff,3.0,7.0,True,False,True
A Kamboj,25.0,0.0,False,False,False
A Khan,0.0,1.0,False,False,False
A Kumble,42.0,0.0,False,False,False
A Manohar,27.0,0.0,False,False,False
A Martin,0.0,1.0,False,False,False
A Mhatre,13.0,0.0,False,False,False
A Mishra,162.0,10.0,True,False,True
A Mithun,16.0,0.0,False,False,False
A Mukund,3.0,0.0,False,False,False
A Ndlovu,0.0,3.0,False,False,False
A Nehra,88.0,26.0,True,False,True
A Nel,1.0,2.0,True,False,True
A Nortje,49.0,41.0,True,False,True
A Raghuvanshi,35.0,0.0,False,False,False
A Shahzad,0.0,3.0,False,False,False
A Simelane,0.0,9.0,False,False,False
A Singh,23.0,0.0,False,False,False
A Symonds,39.0,14.0,True,False,True
A Tomar,1.0,0.0,False,False,False
A Uniyal,2.0,0.0,False,False,False
A Zampa,22.0,105.0,True,False,True
AA Bilakhia,7.0,0.0,False,False,False
AA Chavan,13.0,0.0,False,False,False
AA Jangoo,0.0,3.0,False,False,False
AA Jhunjhunwala,21.0,0.0,False,False,False
AA Kazi,1.0,0.0,False,False,False
AA Kulkarni,4.0,0.0,False,False,False
AA Noffke,1.0,2.0,True,False,True
AAP Atkinson,0.0,4.0,False,False,False
AB Agarkar,42.0,3.0,True,False,True
AB Barath,3.0,2.0,True,False,True
AB Dinda,78.0,9.0,True,False,True
AB McDonald,10.0,0.0,False,False,False
AB de Villiers,183.0,73.0,True,False,True
AC Agar,0.0,46.0,False,False,False
AC Blizzard,7.0,0.0,False,False,False
AC Botha,0.0,5.0,False,False,False
AC Gilchrist,80.0,13.0,True,False,True
AC Thomas,15.0,0.0,False,False,False
AC Voges,9.0,7.0,True,False,True
ACL Richards,0.0,1.0,False,False,False
AD Hales,6.0,72.0,True,False,True
AD Mascarenhas,13.0,14.0,True,False,True
AD Mathews,49.0,83.0,True,False,True
AD Nath,14.0,0.0,False,False,False
AD Poynter,0.0,4.0,False,False,False
AD Russell,139.0,80.0,True,False,True
ADS Fletcher,0.0,58.0,False,False,False
AF Milne,11.0,53.0,True,False,True
AG Cremer,0.0,30.0,False,False,False
AG Murtaza,12.0,0.0,False,False,False
AG Paunikar,5.0,0.0,False,False,False
AG Prince,0.0,1.0,False,False,False
AJ Finch,92.0,102.0,True,False,True
AJ Hall,0.0,2.0,False,False,False
AJ Hosein,8.0,88.0,True,False,True
AJ McKay,0.0,2.0,False,False,False
AJ Redmond,0.0,7.0,False,False,False
AJ Strauss,0.0,4.0,False,False,False
AJ Turner,6.0,19.0,True,False,True
AJ Tye,30.0,31.0,True,False,True
AK Kitchen,0.0,5.0,False,False,False
AK Markram,69.0,69.0,True,False,True
AK Perera,0.0,6.0,False,False,False
AL Menaria,29.0,0.0,False,False,False
AL Phehlukwayo,0.0,42.0,False,False,False
AM Blignaut,0.0,1.0,False,False,False
AM Ellis,0.0,5.0,False,False,False
AM Fernando,0.0,6.0,False,False,False
AM Ghazanfar,11.0,0.0,False,False,False
AM Hardie,0.0,14.0,False,False,False
AM McCarthy,0.0,1.0,False,False,False
AM Nayar,60.0,0.0,False,True,True
AM Phangiso,0.0,16.0,False,False,False
AM Rahane,212.0,20.0,True,False,True
AM Salvi,7.0,0.0,False,False,False
AN Ahmed,17.0,0.0,False,False,False
AN Cook,0.0,4.0,False,False,False
AN Ghosh,2.0,0.0,False,False,False
AN Petersen,0.0,2.0,False,False,False
AP Devcich,0.0,4.0,False,False,False
AP Dole,3.0,0.0,False,False,False
AP Majumdar,4.0,0.0,False,False,False
AP Tare,35.0,0.0,False,False,False
AR Adams,0.0,4.0,False,False,False
AR Bawne,1.0,0.0,False,False,False
AR Cusack,0.0,13.0,False,False,False
AR McBrine,0.0,7.0,False,False,False
AR Nurse,0.0,12.0,False,False,False
AR Patel,177.0,84.0,True,False,True
AR White,0.0,3.0,False,False,False
AS Joseph,22.0,40.0,True,False,True
AS Rajpoot,29.0,0.0,False,False,False
AS Raut,22.0,0.0,False,False,False
AS Roy,25.0,0.0,False,False,False
AS Yadav,8.0,0.0,False,False,False
AT Carey,3.0,41.0,True,False,True
AT Rayudu,204.0,6.0,True,False,True
AU Rashid,3.0,135.0,True,False,True
AUK Pathan,8.0,0.0,False,False,False
AWJ Auguste,0.0,7.0,False,False,False
AY Patel,0.0,7.0,False,False,False
Aamer Jamal,0.0,4.0,False,False,False
Aamer Yamin,0.0,2.0,False,False,False
Abbas Afridi,0.0,24.0,False,False,False
Abdul Basith,1.0,0.0,False,False,False
Abdul Razzaq,0.0,31.0,False,False,False
Abdul Samad,71.0,5.0,True,False,True
Abdullah Shafique,0.0,3.0,False,False,False
Abdur Razzak,1.0,24.0,True,False,True
Abdur Rehman,0.0,6.0,False,False,False
Abhinandan Singh,3.0,0.0,False,False,False
Abhishek Sharma,92.0,42.0,True,False,True
Abishek Porel,36.0,0.0,False,False,False
Abrar Ahmed,0.0,32.0,False,False,False
Abu Hider,0.0,10.0,False,False,False
Abu Jayed,0.0,1.0,False,False,False
Abul Hasan,0.0,2.0,False,False,False
Afif Hossain,0.0,57.0,False,False,False
Aftab Ahmed,0.0,9.0,False,False,False
Agha Salman,0.0,41.0,False,False,False
Ahmed Daniyal,0.0,2.0,False,False,False
Ahmed Shehzad,0.0,53.0,False,False,False
Ahsan Ali,0.0,2.0,False,False,False
Aizaz Cheema,0.0,5.0,False,False,False
Akash Deep,14.0,0.0,False,False,False
Akash Madhwal,17.0,0.0,False,False,False
Akash Singh,12.0,0.0,False,False,False
Akshat Raghuwanshi,3.0,0.0,False,False,False
Al-Amin Hossain,0.0,25.0,False,False,False
Alok Kapali,0.0,6.0,False,False,False
Aman Hakim Khan,12.0,0.0,False,False,False
Aminul Islam,0.0,10.0,False,False,False
Anamul Haque,0.0,16.0,False,False,False
Anand Rajan,8.0,0.0,False,False,False
Aniket Verma,24.0,0.0,False,False,False
Anirudh Singh,5.0,0.0,False,False,False
Ankit Sharma,22.0,0.0,False,False,False
Ankit Soni,7.0,0.0,False,False,False
Anmolpreet Singh,9.0,0.0,False,False,False
Anuj Rawat,24.0,0.0,False,False,False
Anureet Singh,23.0,0.0,False,False,False
Anwar Ali,0.0,15.0,False,False,False
Arafat Minhas,0.0,2.0,False,False,False
Arafat Sunny,0.0,9.0,False,False,False
Ariful Haque,0.0,8.0,False,False,False
Arjun Tendulkar,6.0,0.0,False,False,False
Arshad Iqbal,0.0,2.0,False,False,False
Arshad Khan,26.0,0.0,False,False,False
Arshad Khan (2),1.0,0.0,False,False,False
Arshdeep Singh,97.0,71.0,True,False,True
Asad Ali,0.0,2.0,False,False,False
Asad Shafiq,0.0,10.0,False,False,False
Ashok Sharma,6.0,0.0,False,False,False
Ashutosh Sharma,32.0,0.0,False,False,False
Ashwani Kumar,10.0,0.0,False,False,False
Asif Ali,0.0,49.0,False,False,False
Atharva Taide,10.0,0.0,False,False,False
Auqib Nabi,5.0,0.0,False,False,False
Avesh Khan,82.0,22.0,True,False,True
Awais Zia,0.0,5.0,False,False,False
Azam Khan,0.0,11.0,False,False,False
Azhar Mahmood,23.0,0.0,False,False,False
Azmatullah Omarzai,20.0,0.0,False,False,False
B Akhil,15.0,0.0,False,False,False
B Chipli,23.0,0.0,False,False,False
B Evans,0.0,17.0,False,False,False
B Fernando,0.0,22.0,False,False,False
B Geeves,2.0,1.0,True,False,True
B Indrajith,3.0,0.0,False,False,False
B Kumar,206.0,83.0,True,False,True
B Laughlin,9.0,3.0,True,False,True
B Lee,38.0,25.0,True,False,True
B Mavuta,0.0,5.0,False,False,False
B Muzarabani,2.0,53.0,True,False,True
B Sai Sudharsan,57.0,1.0,True,False,True
B Stanlake,6.0,18.0,True,False,True
B Sumanth,5.0,0.0,False,False,False
B White,0.0,22.0,False,False,False
BA Bhatt,17.0,0.0,False,False,False
BA Carse,0.0,14.0,False,False,False
BA King,0.0,74.0,False,False,False
BA Parchment,0.0,1.0,False,False,False
BA Stokes,45.0,41.0,True,False,True
BAW Mendis,10.0,36.0,True,False,True
BB McCullum,109.0,68.0,True,False,True
BB Samantray,9.0,0.0,False,False,False
BB Sran,24.0,2.0,True,False,True
BC Fortuin,0.0,26.0,False,False,False
BCJ Cutting,21.0,4.0,True,False,True
BE Hendricks,7.0,18.0,True,False,True
BF Calitz,0.0,4.0,False,False,False
BG Lister,0.0,10.0,False,False,False
BJ Bennett,0.0,38.0,False,False,False
BJ Diamanti,0.0,1.0,False,False,False
BJ Dwarshuis,1.0,15.0,True,False,True
BJ Haddin,1.0,34.0,True,False,True
BJ Hodge,66.0,15.0,True,False,True
