player,balls_faced_events,legal_balls_bowled,t20i_matches,ipl_matches,played_both_t20i_and_ipl,ipl_only_50_plus,eligible,can_bowl,role
V Kohli,8197.0,339.0,112.0,282.0,True,False,True,True,All-rounder
RG Sharma,6884.0,382.0,147.0,281.0,True,False,True,True,All-rounder
DA Warner,5799.0,1.0,105.0,184.0,True,False,True,False,Batter
S Dhawan,5772.0,47.0,66.0,222.0,True,False,True,False,Batter
KL Rahul,4854.0,0.0,65.0,160.0,True,False,True,False,Batter
JC Buttler,4729.0,0.0,144.0,138.0,True,False,True,False,Batter
MS Dhoni,4563.0,0.0,94.0,277.0,True,False,True,False,Batter
SK Raina,4372.0,1102.0,75.0,204.0,True,False,True,True,All-rounder
CH Gayle,4130.0,752.0,78.0,141.0,True,False,True,True,All-rounder
SA Yadav,4063.0,9.0,100.0,179.0,True,False,True,False,Batter
AM Rahane,3975.0,5.0,20.0,212.0,True,False,True,False,Batter
Q de Kock,3923.0,0.0,99.0,118.0,True,False,True,False,Batter
F du Plessis,3903.0,10.0,45.0,154.0,True,False,True,False,Batter
SV Samson,3792.0,0.0,58.0,190.0,True,False,True,False,Batter
AB de Villiers,3714.0,0.0,73.0,183.0,True,False,True,False,Batter
KD Karthik,3647.0,0.0,55.0,257.0,True,False,True,False,Batter
RV Uthappa,3555.0,0.0,12.0,205.0,True,False,True,False,Batter
G Gambhir,3511.0,0.0,34.0,154.0,True,False,True,False,Batter
DA Miller,3432.0,0.0,128.0,152.0,True,False,True,False,Batter
SR Watson,3355.0,2487.0,58.0,145.0,True,False,True,True,All-rounder
MK Pandey,3334.0,0.0,39.0,180.0,True,False,True,False,Batter
SS Iyer,3222.0,8.0,50.0,147.0,True,False,True,False,Batter
Shubman Gill,3156.0,0.0,33.0,134.0,True,False,True,False,Batter
RR Pant,3105.0,0.0,68.0,139.0,True,False,True,False,Batter
GJ Maxwell,3086.0,1774.0,123.0,141.0,True,False,True,True,All-rounder
AT Rayudu,3083.0,0.0,6.0,204.0,True,False,True,False,Batter
KA Pollard,3074.0,1973.0,98.0,189.0,True,False,True,True,All-rounder
